user_id,signup_date,cohort_month,last_activity_date,days_since_signup,days_since_last_activity,sessions_7d,sessions_30d,onboarding_completed,first_purchase_done,purchase_count_90d,gmv_90d_rub,aov_rub,refund_rate_90d,promo_share_90d,price_sensitivity,category_affinity_top,loyalty_level,has_subscription,preferred_channel,push_opt_in,email_opt_in,sms_opt_in,push_open_rate_90d,email_open_rate_90d,click_rate_90d,send_time_pref,device,city_tier,support_tickets_90d,nps_last,churn_risk,ltv_proxy,push_sent_30d,email_sent_30d,inapp_shown_30d,channel_fatigue_score,last_campaign_type,days_since_last_campaign,crm_conversions_90d,true_value_tier,true_lifecycle_stage,true_price_segment,true_segment_label,true_recommended_channel,true_next_goal,product_views_7d,product_views_30d,add_to_cart_30d,wishlist_items,last_view_category,days_since_last_cart_add,abandoned_cart_flag,cart_value_rub,true_trigger_event,true_nba_action
u000001,2025-04-14,2025-04,2025-12-08,263,25,0,5,0,0,0,0,796,0.158,0.605,0.668,Авто,Gold,0,inapp,0,0,0,0.023,0.007,0.102,ночь,Android,3,0,9,0.801,0,3,6,7,0.685,реактивация,59,0,High,Active_NonBuyer,Price_Sensitive,Reactivation,inapp,реактивация,0,37,1,1,Авто,25.0,1,338,abandoned_cart,cart_recovery
u000002,2025-12-16,2025-12,2025-12-21,17,12,1,2,0,0,0,0,791,0.022,0.501,0.528,Электроника,Silver,1,push,1,1,0,0.264,0.063,0.067,утро,iOS,3,0,7,0.745,0,5,3,3,0.483,реактивация,7,0,High,New_NoPurchase,Not_Price_Sensitive,Activation,inapp,активация,0,9,0,0,Электроника,,0,0,none,onboarding_nudge
u000003,2025-09-29,2025-09,2025-12-27,95,6,1,1,0,0,0,0,3444,0.138,0.108,0.266,Путешествия,Silver,1,email,1,1,1,0.254,0.354,0.064,вечер,Android,2,0,6,0.712,0,5,3,3,0.37,промо,10,1,High,Active_NonBuyer,Not_Price_Sensitive,Browse_to_Convert,email,активация,12,14,0,1,Путешествия,,0,0,browse_no_cart,content_reco
u000004,2025-04-18,2025-04,2025-12-18,259,15,2,7,1,1,3,3840,1468,0.091,0.455,0.529,Электроника,Platinum,0,push,1,1,0,0.431,0.196,0.079,вечер,iOS,1,1,10,0.502,4416,8,4,2,0.413,промо,11,0,High,Active_Buyer,Not_Price_Sensitive,VIP_Retention_Upsell,email,upsell,7,37,2,0,Электроника,16.0,1,1504,abandoned_cart,cart_recovery
u000005,2025-03-14,2025-03,2025-12-29,294,4,0,5,0,0,0,0,1503,0.131,0.478,0.512,Путешествия,Silver,0,email,1,1,0,0.314,0.436,0.009,день,Android,2,1,5,0.626,0,5,3,3,0.313,удержание,3,0,High,Active_NonBuyer,Not_Price_Sensitive,Browse_to_Convert,email,активация,1,30,1,0,Путешествия,5.0,1,300,abandoned_cart,cart_recovery
u000006,2025-07-09,2025-07,2025-12-22,177,11,0,5,0,0,0,0,1195,0.16,0.383,0.551,Одежда,,0,email,1,1,0,0.138,0.36,0.034,вечер,Android,1,0,5,0.684,0,8,4,3,0.481,удержание,16,0,High,Active_NonBuyer,Price_Sensitive,Browse_to_Convert,email,активация,1,37,3,1,Одежда,9.0,1,865,abandoned_cart,cart_recovery
u000007,2025-01-22,2025-01,2025-12-17,345,16,0,2,1,0,0,0,2158,0.016,0.487,0.486,Путешествия,Silver,0,inapp,1,1,0,0.041,0.0,0.092,вечер,Android,2,0,10,0.778,0,10,7,4,0.764,активация,7,0,High,Active_NonBuyer,Not_Price_Sensitive,Reactivation,inapp,реактивация,0,31,0,0,Дом,,1,453,abandoned_cart,cart_recovery
u000008,2025-04-14,2025-04,2025-12-24,263,9,0,5,1,0,0,0,1490,0.0,0.302,0.409,Спорт,,0,push,0,0,0,0.014,0.027,0.073,утро,iOS,1,0,4,0.668,0,9,1,6,0.68,upsell,36,0,High,Active_NonBuyer,Not_Price_Sensitive,Service_Recovery,inapp,сервис/поддержка,0,32,1,0,Спорт,3.0,1,732,abandoned_cart,cart_recovery
u000009,2025-05-03,2025-05,2025-12-25,244,8,1,7,1,0,0,0,2825,0.144,0.082,0.41,Одежда,Gold,1,inapp,1,1,0,0.434,0.232,0.097,день,Android,2,2,10,0.624,0,5,1,3,0.314,промо,22,0,High,Active_NonBuyer,Not_Price_Sensitive,Service_Recovery,email,сервис/поддержка,0,40,0,0,Одежда,,0,0,none,apology_help
u000010,2025-08-04,2025-08,2025-12-27,151,6,6,7,1,1,4,4841,1122,0.028,0.231,0.467,Электроника,,0,push,1,0,0,0.442,0.03,0.057,день,Android,3,0,7,0.428,4841,6,2,1,0.391,промо,13,0,High,Active_Buyer,Not_Price_Sensitive,VIP_Retention_Upsell,push,upsell,32,54,3,2,Электроника,9.0,0,491,none,personalized_upsell
